IFNG,Interferon gamma
IFNGR*,Interferon gamma receptor
STAT1,Signal Transducer And Activator Of Transcription 1
IL12,Interleukin 12
IL4,Interleukin 4
IL4R*,Interleukin 4 receptor
STAT6,Signal Transducer And Activator Of Transcription 6
IL2,Interleukin 2
IL2R*,Interleukin 2 receptor
STAT5,Signal Transducer And Activator Of Transcription 5
IL6,Interleukin 6
IL6R*,Interleukin 6 receptor
IL21,Interleukin 21
IL21R*,Interleukin 21 receptor
IL10,Interleukin 10
IL10R*,Interleukin 10 receptor
STAT3,Signal Transducer And Activator Of Transcription 3
TGFB,Transforming growth factor beta
TGFBR*,Transforming growth factor beta receptor
SMAD3,SMAD Family Member 3
SOCS1,Suppressor Of Cytokine Signaling 1
SOCS2,Suppressor Of Cytokine Signaling 2
SOCS3,Suppressor Of Cytokine Signaling 3
TBET,T-box expressed in T cells
GATA3,GATA binding protein 3
RORGT,RAR-related orphan receptor gamma 
FOXP3,forkhead box P3
