,WT,TBET_0,IFNG_0,GATA3_0,IL2_0,IL4_0,RORGT_0,IL21_0,FOXP3_0,TGFB_0,IL10_0,SOCS1_0,SOCS2_0,SOCS3_0,SOCS5_0,IFNGe_0,IL12e_0,IL2e_0,IL4e_0,IL6e_0,TGFBe_0,IL10e_0,TCR_0,TBET_1,IFNG_1,GATA3_1,IL2_1,IL4_1,RORGT_1,IL21_1,FOXP3_1,TGFB_1,IL10_1,SOCS1_1,SOCS2_1,SOCS3_1,SOCS5_1,IFNGe_1,IL12e_1,IL2e_1,IL4e_1,IL6e_1,TGFBe_1,IL10e_1,TCR_1,SOCSall_0,SOCSall_1
Naive,2097152,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,2097152,NA,1048576,NA,1048576,1048576,NA,1048576,NA,NA,NA,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,NA,131072,131072
Anergy,179859,136457,164930,96092,96704,100664,87967,24090,93813,196958,206560,49274,91750,100271,81650,125537,88959,93856,96410,59015,179859,179859,NA,1139134,10464,1122390,77120,87776,1601976,131072,NA,NA,NA,123136,90161,94368,99962,54322,90900,86003,83449,120844,NA,NA,179859,9680,13568
Th1,98626,NA,NA,54884,74628,54056,46540,18234,53392,151792,158320,81935,46651,24285,40218,30922,34934,58210,54611,64810,98626,98626,NA,65026,80672,NA,24960,NA,NA,NA,NA,NA,NA,26240,51753,23360,54630,67704,63692,40416,44015,33816,NA,NA,98626,4098,3328
Th2,30699,17143,26814,NA,124,NA,14933,6316,20667,38706,31664,15035,15999,12660,32724,22741,30699,8414,3571,16783,30699,30699,NA,NA,NA,25322,28224,57984,NA,NA,NA,NA,NA,12544,12870,17440,NA,7958,NA,22285,27128,13916,NA,NA,30699,3662,NA
Th17,67504,33792,52096,36112,52024,35440,NA,NA,23010,NA,125408,13476,32334,249344,33636,47472,33706,50332,33896,2800,NA,67504,NA,NA,NA,NA,NA,NA,84296,48640,NA,62784,NA,43008,35301,NA,33896,20032,33798,17172,33608,64704,67504,NA,67504,22528,NA
Th1R,746612,NA,89768,431514,387260,454560,378082,481862,358034,320520,378968,381544,371224,247964,313586,162586,299722,390438,426042,405764,326606,376008,NA,892992,865504,NA,355520,NA,NA,NA,440516,393276,367136,325952,376697,296840,426048,584026,446890,356174,320570,340848,420006,370604,746612,25293,43520
Th2R,49008,31643,43036,NA,3232,4128,24521,18072,35968,91396,NA,24306,27413,20247,33694,33608,31179,16680,10333,24824,49008,3008,NA,NA,NA,949440,48112,52440,NA,NA,NA,NA,46100,23648,23152,28944,5216,15400,17829,32328,38675,24184,NA,46000,49008,3824,896
Tr,617732,573653,460202,292236,434604,289272,341497,303366,463692,236788,38728,305050,281490,257813,323422,430750,328985,430646,300363,313480,286434,157334,NA,NA,31392,NA,75584,593928,NA,868864,NA,1401000,1517244,377520,323272,389468,305480,186982,288747,187086,317369,304252,331298,460398,617732,34390,55552
Treg,307112,255888,211730,137738,NA,110456,155036,196636,NA,NA,108928,177956,181715,135992,189646,194960,200392,NA,123350,161100,77344,135538,NA,NA,60544,NA,439056,256448,NA,NA,559342,240092,166672,116528,135370,198156,123344,112152,106720,307112,183762,146012,229768,171574,307112,27597,14208
Th17*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Th1R*,NA,NA,NA,NA,NA,NA,NA,NA,NA,2536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Th2R*,NA,NA,NA,NA,NA,NA,NA,NA,NA,1688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NoLabel,NA,NA,NA,NA,NA,NA,NA,NA,NA,8192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1097294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
