initial,final,genes,values,freq
Tex,NoLabel,FOXP3,1,1
Tex,Th1,IFNG,1,3
Tex,Th1,IL2,0,1
Tex,Th1,IL6,0,1
Tex,Th1,SOCS1,0,2
Tex,Th17,RORGT,1,1
Tex,Th17,TGFB,1,1
Tex,Th17,TGFBe,1,1
Tex,Th1R,FOXP3,1,2
Tex,Th1R,IL10,1,1
Tex,Th1R,IL10e,1,1
Tex,Th1R,TGFB,1,2
Tex,Th1R,TGFBe,1,2
Tex,Th2,IL12e,0,1
Tex,Th2,IL4,1,3
Tex,Th2R,IL10,1,1
Tex,Th2R,IL10e,1,1
Tex,Tr,IL10,1,1
Tex,Tr,IL10e,1,1
Th1,Tex,GATA3,1,2
Th1,Tex,IFNG,0,2
Th1,Tex,IL4,1,2
Th1,Tex,IL6,1,2
Th1,Tex,RORGT,1,2
Th1,Tex,TBET,0,2
Th1,Tex,TCR,0,2
Th1,Th1R,FOXP3,1,2
Th1,Th1R,IL10,1,2
Th1,Th1R,IL10e,1,2
Th1,Th1R,TGFB,1,2
Th1,Th1R,TGFBe,1,2
Th1R,Tex,IFNG,0,2
Th1R,Tex,IL6,1,1
Th1R,Tex,TCR,0,5
Th1R,Th1,IL10,0,2
Th1R,Th1,TGFB,0,1
Th1R,Th2R,GATA3,1,5
Th1R,Tr,IL4,1,3
Th1R,Tr,IL6,1,4
Th1R,Tr,TBET,0,3
Th1R,Tr*,RORGT,1,5
Th1R,Tr*,TGFB,0,2
Th1R,Treg,IL4,1,2
Th1R,Treg,TBET,0,2
Th2R,Tex,GATA3,0,1
Th2R,Tex,IL10,0,2
Th2R,Tex,TBET,1,1
Th2R,Tex,TCR,0,2
Th2R,Th1,GATA3,0,1
Th2R,Th1,TBET,1,1
Th2R,Th1R,IFNG,1,2
Th2R,Tr,IL6,1,2
Th2R,Tr,TGFB,1,1
Th2R,Tr,TGFBe,1,1
Th2R,Tr*,RORGT,1,2
Th2R,Treg,FOXP3,1,2
Th2R,Treg,TGFB,1,1
Th2R,Treg,TGFBe,1,1
Tr,Tex,TCR,0,1
Tr,Th1,TGFB,0,1
Tr,Th1R,IFNG,1,1
Tr,Th1R,IL10,0,1
Tr,Th1R,TBET,1,1
Tr,Th2R,GATA3,1,1
Tr,Tr*,RORGT,1,1
Tr,Treg,FOXP3,1,1
Tr,Treg,IL2,1,1
Tr,Treg,SOCS2,0,1
Treg,Tex,TCR,0,1
Treg,Th1R,IFNG,1,1
Treg,Th1R,IL10,0,1
Treg,Th1R,TBET,1,1
Treg,Th2R,GATA3,1,1
Treg,Tr,FOXP3,0,1
Treg,Tr,IL2,0,1
Treg,Tr,IL2e,0,1
Treg,Tr,IL6,1,1
Treg,Tr*,RORGT,1,1
Treg,Tr*,TGFB,0,1
